No,NodeName,Mount Name,Connection Status,Host,Set
324,530252791,530252791,connected,Huawei,Set
325,528253525,528253525,connected,Huawei,Set
326,418253606,418253606,connected,SIAE,Set
327,530252792,530252792,connected,Huawei,Set
328,528253524,528253524,connected,Huawei,Set
329,121253381,121253381,connected,SIAE,Set
330,528251586,,connected,Huawei,not set
331,104552970B,104552970B,connected,Ericsson,Set
332,104552970A,104552970A,connected,Ericsson,Set
333,203558183A,203558183A,connected,Ericsson,Set
334,203558183B,203558183B,connected,Ericsson,Set
335,529252539,529252539,connected,Huawei,Set
336,528251553,528251553,connected,Huawei,Set
337,528251554,528251554,connected,Huawei,Set
338,529252538,529252538,connected,Huawei,Set
339,101252875,101252875,connected,SIAE,Set
340,101252874,101252874,connected,SIAE,Set
341,528253626,528253626,connected,Huawei,Set
342,528253625,528253625,connected,Huawei,Set
343,418252416,418252416,connected,SIAE,Set
344,121252392,121252392,connected,Ericsson,Set
345,202253886,202253886,connected,SIAE,Set
346,212252611,212252611,connected,SIAE,Set
347,202253887,202253887,connected,SIAE,Set
348,305559664A,305559664A,connected,Ericsson,Set
349,305559664B,305559664B,connected,Ericsson,Set
350,417253609,417253609,connected,Huawei,Set
351,417253606,417253606,connected,Huawei,Set
352,530252863,530252863,connected,Huawei,Set
353,530252864,530252864,connected,Huawei,Set
354,305559300A,305559300A,connected,Ericsson,Set
355,530251542,530251542,connected,SIAE,Set
356,417252890,417252890,connected,Huawei,Set
357,529252704,529252704,connected,Huawei,Set
358,121252097,,connected,SIAE,not set
359,529252700,529252700,connected,Huawei,Set
360,529252703,529252703,connected,Huawei,Set
361,305559300B,305559300B,connected,Ericsson,Set
362,530251543,530251543,connected,SIAE,Set
363,212251825,212251825,connected,Huawei,Set
364,305559323A,305559323A,connected,Ericsson,Set
365,305559323B,305559323B,connected,Ericsson,Set
366,427252819,427252819,connected,Huawei,Set
367,427252816,427252816,connected,Ericsson,Set
368,530252400,530252400,connected,Huawei,Set
369,325251918,325251918,connected,SIAE,Set
370,529252616,529252616,connected,Huawei,Set
371,530252407,530252407,connected,Huawei,Set
372,325251912,325251912,connected,SIAE,Set
373,529252615,529252615,connected,Huawei,Set
374,530252406,530252406,connected,Huawei,Set
375,529252730,529252730,connected,Huawei,Set
376,529251883,529251883,connected,SIAE,Set
377,530252766,530252766,connected,Huawei,Set
378,530252403,530252403,connected,Huawei,Set
379,529251882,529251882,connected,SIAE,Set
380,530252401,530252401,connected,Huawei,Set
381,529252731,529252731,connected,Huawei,Set
382,530252765,530252765,connected,Huawei,Set
383,530252402,530252402,connected,Huawei,Set
384,305253875,305253875,connected,SIAE,Set
385,305253874,305253874,connected,SIAE,Set
386,203557847B,203557847B,connected,Ericsson,Set
387,203557847A,203557847A,connected,Ericsson,Set
388,530251442,530251442,connected,Huawei,Set
389,528251524,528251524,connected,Huawei,Set
390,528251525,528251525,connected,Huawei,Set
391,529251638,529251638,connected,Huawei,Set
392,101555105A,101555105A,connected,Ericsson,Set
393,529258262,529258262,connected,Huawei,Set
394,101555105B,101555105B,connected,Ericsson,Set
395,529258263,529258263,connected,Huawei,Set
396,529251639,529251639,connected,Huawei,Set
397,529252961,529252961,connected,Huawei,Set
398,529252960,,connected,Huawei,not set
